date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:10	149/149	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jun%202021%2005:44:10%20GMT	http://pushkarmaurya.herokuapp.com/robots.txt		(from )
11:14:11	30058/30058	---M--	200	added ('OK')	text/html	etag:W/%22756a-j2aYlvCnexC1bM1djhbidNHaTGg%22	http://pushkarmaurya.herokuapp.com/	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/index.html	(from )
11:14:14	183481/183481	---M--	200	added ('OK')	text/css	etag:W/%222ccb9-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/css/bootstrap.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/css/bootstrap.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:14	8344/8344	---M--	200	added ('OK')	text/css	etag:W/%222098-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/style.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:14	27466/27466	---M--	200	added ('OK')	text/css	etag:W/%226b4a-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/css/font-awesome.min.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:15	2936/2936	---M--	200	added ('OK')	text/css	etag:W/%22b78-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.carousel.min.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.carousel.min.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:16	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/p/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:16	5002/5002	---M--	200	added ('OK')	image/png	etag:W/%22138a-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/logo2.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/logo2.png	(from http://pushkarmaurya.herokuapp.com/)
11:14:16	4752/4752	---M--	200	added ('OK')	text/css	etag:W/%221290-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/lightbox/simpleLightbox.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/lightbox/simpleLightbox.css	(from http://pushkarmaurya.herokuapp.com/)
11:14:17	4007/4007	---M--	200	added ('OK')	text/css	etag:W/%22fa7-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/nice-select/css/nice-select.css	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/nice-select/css/nice-select.css	(from http://pushkarmaurya.herokuapp.com/)
